omega,F=1.00,F=3.12,F=5.24,F=7.35,F=9.47,F=11.59,F=13.71,F=15.82,F=17.94,F=20.06,F=22.18,F=24.29,F=26.41,F=28.53,F=30.65,F=32.76,F=34.88,F=37.00
0.012002,0.037965,0.057823,0.066260,0.072378,0.077404,0.081752,0.085625,0.089139,0.092370,0.095371,0.098180,0.100825,0.103329,0.105709,0.107980,0.110155,0.112242,0.114250
0.013002,0.046985,0.076910,0.088830,0.097110,0.103801,0.109549,0.114652,0.119274,0.123521,0.127463,0.131152,0.134626,0.137914,0.141041,0.144025,0.146882,0.149624,0.152263
0.014002,0.057240,0.105296,0.124352,0.136715,0.146353,0.154481,0.161621,0.168050,0.173934,0.179384,0.184476,0.189265,0.193797,0.198103,0.202211,0.206144,0.209918,0.213551
0.015003,0.068022,0.149804,0.188684,0.212987,0.230910,0.245388,0.257723,0.268592,0.278385,0.287349,0.295652,0.303411,0.310712,0.317622,0.324193,0.330465,0.336473,0.342243
0.016003,0.077736,0.212429,0.311291,0.389395,0.454937,0.512166,0.563502,0.610435,0.653950,0.694725,0.733252,0.769895,0.804934,0.838587,0.871029,0.902401,0.932819,0.962379
0.017003,0.084181,0.248954,0.384171,0.492181,0.581546,0.658940,0.727893,0.789976,0.845974,0.896534,0.942385,0.984346,1.023241,1.059814,1.094674,1.128271,1.160902,1.192728
0.018003,0.085861,0.216118,0.290210,0.336839,0.368644,0.390988,0.407104,0.419069,0.427885,0.434080,0.438202,0.440879,0.442643,0.443808,0.444491,0.444712,0.444507,0.443979
0.019003,0.083135,0.163192,0.190129,0.206964,0.220124,0.230104,0.237607,0.243967,0.250272,0.257097,0.264633,0.272713,0.280908,0.288761,0.295952,0.302306,0.307742,0.312251
0.020004,0.077708,0.129404,0.147074,0.159344,0.169073,0.177350,0.185169,0.192567,0.199150,0.204859,0.210050,0.215126,0.220294,0.225512,0.230566,0.235246,0.239460,0.243258
0.021004,0.071242,0.108003,0.122178,0.132535,0.141081,0.148636,0.155308,0.161349,0.167046,0.172365,0.177237,0.181780,0.186168,0.190439,0.194521,0.198350,0.201946,0.205396
0.022004,0.064687,0.092937,0.105137,0.114297,0.121959,0.128625,0.134613,0.140058,0.145055,0.149738,0.154119,0.158218,0.162117,0.165853,0.169408,0.172785,0.176027,0.179173
0.023004,0.058405,0.081296,0.092086,0.100307,0.107188,0.113193,0.118561,0.123450,0.127949,0.132130,0.136054,0.139742,0.143235,0.146565,0.149737,0.152769,0.155686,0.158497
0.024004,0.052454,0.071615,0.081245,0.088638,0.094829,0.100230,0.105059,0.109448,0.113490,0.117244,0.120760,0.124072,0.127205,0.130187,0.133030,0.135751,0.138364,0.140878
0.025005,0.046777,0.063086,0.071670,0.078289,0.083834,0.088668,0.092987,0.096914,0.100526,0.103882,0.107022,0.109980,0.112779,0.115440,0.117978,0.120407,0.122738,0.124980
0.026005,0.041285,0.055222,0.062811,0.068678,0.073592,0.077875,0.081701,0.085177,0.088375,0.091344,0.094123,0.096739,0.099215,0.101568,0.103812,0.105959,0.108020,0.110002
0.027005,0.035886,0.047714,0.054319,0.059434,0.063719,0.067452,0.070786,0.073815,0.076600,0.079186,0.081606,0.083883,0.086039,0.088087,0.090040,0.091909,0.093702,0.095427
0.028005,0.030497,0.040347,0.045955,0.050305,0.053949,0.057124,0.059959,0.062534,0.064901,0.067099,0.069156,0.071092,0.072923,0.074663,0.076323,0.077911,0.079434,0.080900
0.029005,0.025046,0.032965,0.037546,0.041107,0.044091,0.046691,0.049012,0.051121,0.053059,0.054859,0.056543,0.058128,0.059627,0.061052,0.062411,0.063711,0.064958,0.066158
0.030005,0.019465,0.025445,0.028959,0.031697,0.033994,0.035996,0.037784,0.039408,0.040901,0.042288,0.043585,0.044807,0.045962,0.047060,0.048107,0.049109,0.050070,0.050995
0.031006,0.013695,0.017686,0.020080,0.021955,0.023531,0.024907,0.026136,0.027253,0.028281,0.029236,0.030129,0.030970,0.031766,0.032523,0.033244,0.033934,0.034597,0.035234
0.032006,0.007895,0.009992,0.011294,0.012322,0.013191,0.013950,0.014630,0.015249,0.015818,0.016348,0.016843,0.017310,0.017752,0.018171,0.018572,0.018955,0.019323,0.019677
0.033006,0.003556,0.004365,0.004898,0.005326,0.005689,0.006008,0.006295,0.006556,0.006797,0.007020,0.007230,0.007428,0.007615,0.007793,0.007963,0.008126,0.008282,0.008432
0.034006,0.006271,0.008991,0.010471,0.011586,0.012507,0.013301,0.014006,0.014644,0.015228,0.015769,0.016274,0.016749,0.017197,0.017622,0.018028,0.018415,0.018787,0.019144
0.035006,0.012466,0.017591,0.020403,0.022532,0.024293,0.025815,0.027167,0.028391,0.029513,0.030553,0.031523,0.032436,0.033298,0.034116,0.034896,0.035642,0.036357,0.037044
0.036007,0.020104,0.027983,0.032338,0.035649,0.038393,0.040770,0.042883,0.044797,0.046552,0.048179,0.049699,0.051128,0.052478,0.053761,0.054983,0.056151,0.057271,0.058348
0.037007,0.028348,0.039271,0.045300,0.049890,0.053699,0.056999,0.059935,0.062594,0.065034,0.067296,0.069410,0.071397,0.073276,0.075060,0.076760,0.078386,0.079945,0.081444
0.038007,0.037305,0.051653,0.059515,0.065500,0.070469,0.074775,0.078606,0.082078,0.085264,0.088218,0.090978,0.093574,0.096028,0.098359,0.100580,0.102704,0.104742,0.106700
0.039007,0.047109,0.065388,0.075283,0.082807,0.089052,0.094464,0.099281,0.103646,0.107653,0.111368,0.114840,0.118106,0.121193,0.124125,0.126920,0.129593,0.132157,0.134622
0.040007,0.057921,0.080839,0.093027,0.102270,0.109938,0.116584,0.122499,0.127859,0.132780,0.137343,0.141608,0.145620,0.149413,0.153016,0.156450,0.159735,0.162885,0.165914
0.041008,0.069942,0.098515,0.113354,0.124559,0.133845,0.141890,0.149049,0.155537,0.161493,0.167018,0.172181,0.177039,0.181632,0.185994,0.190153,0.194131,0.197947,0.201616
0.042008,0.083410,0.119174,0.137187,0.150698,0.161870,0.171542,0.180147,0.187944,0.195102,0.201741,0.207947,0.213785,0.219305,0.224549,0.229548,0.234330,0.238918,0.243329
0.043008,0.098598,0.143974,0.165998,0.182339,0.195801,0.207438,0.217783,0.227152,0.235754,0.243730,0.251185,0.258199,0.264831,0.271131,0.277138,0.282883,0.288395,0.293695
0.044008,0.115784,0.174770,0.202278,0.222348,0.238774,0.252927,0.265488,0.276855,0.287283,0.296950,0.305983,0.314479,0.322514,0.330145,0.337420,0.344380,0.351055,0.357475
0.045008,0.135164,0.214632,0.250586,0.276179,0.296882,0.314610,0.330287,0.344440,0.357406,0.369412,0.380623,0.391162,0.401123,0.410581,0.419597,0.428219,0.436488,0.444440
0.046008,0.156668,0.268688,0.319937,0.355462,0.383702,0.407621,0.428620,0.447483,0.464701,0.480601,0.495418,0.509324,0.522450,0.534900,0.546756,0.558087,0.568948,0.579385
0.047009,0.179619,0.344533,0.428701,0.487754,0.534586,0.574084,0.608627,0.639561,0.667728,0.693690,0.717847,0.740492,0.761849,0.782092,0.801360,0.819765,0.837401,0.854345
0.048009,0.202288,0.446277,0.602043,0.724826,0.830036,0.924108,1.010361,1.090736,1.166469,1.238398,1.307113,1.373048,1.436529,1.497808,1.557081,1.614507,1.670212,1.724300
0.049009,0.221714,0.546405,0.775186,0.949313,1.083779,1.188879,1.274230,1.350778,1.420732,1.485187,1.545028,1.600963,1.653516,1.703127,1.750181,1.794936,1.837648,1.878548
0.050009,0.234399,0.584320,0.794501,0.945846,1.074919,1.190508,1.292577,1.380463,1.455127,1.519003,1.575162,1.626544,1.675506,1.723662,1.771921,1.820604,1.869606,1.918542
0.051009,0.237920,0.572064,0.780915,0.933727,1.051177,1.151869,1.244668,1.330171,1.406615,1.473518,1.532386,1.585836,1.636445,1.686005,1.735304,1.784273,1.832307,1.878602
0.052010,0.232030,0.531252,0.712011,0.848451,0.959033,1.049483,1.129184,1.203260,1.271406,1.332344,1.386637,1.436454,1.484040,1.530615,1.576197,1.620080,1.661470,1.699950
0.053010,0.218228,0.452996,0.584137,0.675518,0.748408,0.807552,0.856185,0.899499,0.938776,0.973008,1.002487,1.029012,1.054144,1.078184,1.100518,1.120533,1.138214,1.154142
0.054010,0.198897,0.349934,0.398635,0.416346,0.420365,0.419855,0.416884,0.415025,0.416187,0.441002,0.464541,0.487196,0.509549,0.531141,0.551390,0.570381,0.588677,0.606811
0.055010,0.176909,0.259732,0.277600,0.300952,0.332157,0.365177,0.393940,0.415934,0.431398,0.440243,0.443692,0.443915,0.442320,0.439684,0.437049,0.435687,0.436453,0.446461
0.056010,0.155011,0.214571,0.248960,0.270944,0.279788,0.285043,0.294271,0.309034,0.328025,0.347652,0.365164,0.379212,0.388943,0.394430,0.396804,0.397414,0.397296,0.397345
0.057011,0.134901,0.184706,0.203734,0.220116,0.240874,0.257320,0.266334,0.271060,0.276632,0.285455,0.297423,0.310818,0.323209,0.333051,0.339935,0.344082,0.346268,0.347737
0.058011,0.116916,0.155155,0.176414,0.192168,0.201750,0.213898,0.227719,0.238221,0.244529,0.249160,0.255054,0.263281,0.272795,0.281975,0.289457,0.294655,0.298032,0.300628
0.059011,0.100622,0.132631,0.149296,0.162926,0.175536,0.183519,0.191672,0.201560,0.210282,0.216195,0.220708,0.225939,0.232571,0.239849,0.246389,0.251367,0.254966,0.257937
0.060011,0.085543,0.111812,0.126586,0.137627,0.147214,0.156606,0.163150,0.169491,0.176864,0.183398,0.188160,0.192297,0.197124,0.202711,0.208073,0.212424,0.215773,0.218724
0.061011,0.071360,0.092504,0.104632,0.114522,0.122170,0.129269,0.136045,0.141130,0.146268,0.151834,0.156526,0.160218,0.163951,0.168237,0.172524,0.176155,0.179076,0.181805
0.062012,0.057809,0.074466,0.084241,0.091680,0.098472,0.103772,0.109041,0.113772,0.117607,0.121699,0.125717,0.128975,0.131926,0.135181,0.138520,0.141431,0.143854,0.146211
0.063012,0.044643,0.056776,0.064107,0.070030,0.074784,0.079226,0.082857,0.086571,0.089690,0.092538,0.095555,0.098215,0.100482,0.102861,0.105341,0.107550,0.109433,0.111303
0.064012,0.032529,0.041049,0.046308,0.050411,0.053944,0.057049,0.059785,0.062263,0.064682,0.066695,0.068756,0.070751,0.072428,0.074088,0.075845,0.077435,0.078812,0.080194
0.065012,0.022493,0.028038,0.031538,0.034358,0.036756,0.038775,0.040711,0.042333,0.043965,0.045396,0.046717,0.048080,0.049264,0.050360,0.051534,0.052620,0.053559,0.054513
0.066012,0.014414,0.017656,0.019800,0.021513,0.022950,0.024261,0.025394,0.026461,0.027405,0.028345,0.029141,0.029968,0.030734,0.031403,0.032115,0.032802,0.033383,0.033977
0.067012,0.015962,0.023340,0.027300,0.030269,0.032711,0.034813,0.036679,0.038367,0.039907,0.041339,0.042669,0.043925,0.045104,0.046231,0.047295,0.048319,0.049300,0.050235
0.068013,0.025305,0.036551,0.042613,0.047171,0.050927,0.054167,0.057046,0.059644,0.062022,0.064231,0.066285,0.068223,0.070046,0.071781,0.073434,0.075007,0.076526,0.077978
0.069013,0.036940,0.053003,0.061665,0.068185,0.073565,0.078212,0.082338,0.086061,0.089481,0.092644,0.095600,0.098373,0.101001,0.103484,0.105863,0.108126,0.110298,0.112393
0.070013,0.050993,0.072946,0.084737,0.093616,0.100945,0.107279,0.112902,0.117981,0.122647,0.126961,0.130995,0.134780,0.138366,0.141757,0.145001,0.148093,0.151058,0.153918
0.071013,0.066966,0.095451,0.110686,0.122164,0.131644,0.139836,0.147109,0.153694,0.159733,0.165323,0.170550,0.175456,0.180100,0.184501,0.188700,0.192714,0.196558,0.200261
0.072013,0.084066,0.120034,0.139084,0.153412,0.165245,0.175471,0.184555,0.192775,0.200311,0.207298,0.213820,0.219954,0.225749,0.231253,0.236494,0.241511,0.246315,0.250938
0.073014,0.102527,0.147363,0.170753,0.188289,0.202753,0.215248,0.226345,0.236385,0.245595,0.254128,0.262096,0.269590,0.276670,0.283395,0.289800,0.295927,0.301802,0.307448
0.074014,0.122628,0.178380,0.206904,0.228164,0.245664,0.260767,0.274173,0.286302,0.297422,0.307724,0.317348,0.326394,0.334944,0.343060,0.350797,0.358192,0.365286,0.372103
0.075014,0.144676,0.214482,0.249413,0.275225,0.296395,0.314631,0.330801,0.345420,0.358819,0.371231,0.382820,0.393713,0.404008,0.413780,0.423093,0.431997,0.440535,0.448743
0.076014,0.168974,0.257792,0.301361,0.333172,0.359113,0.381389,0.401105,0.418907,0.435210,0.450299,0.464384,0.477618,0.490120,0.501986,0.513291,0.524100,0.534461,0.544422
0.077014,0.195748,0.311601,0.368089,0.408788,0.441724,0.469874,0.494712,0.517089,0.537550,0.556467,0.574106,0.590667,0.606304,0.621137,0.635263,0.648763,0.661702,0.674135
0.078015,0.224986,0.380887,0.459253,0.515500,0.560813,0.599415,0.633395,0.663956,0.691864,0.717640,0.741656,0.764192,0.785459,0.805625,0.824824,0.843165,0.860741,0.877627
0.079015,0.256167,0.472030,0.591508,0.680265,0.753271,0.816443,0.872774,0.924013,0.971280,1.015342,1.056751,1.095918,1.133160,1.168727,1.202820,1.235602,1.267209,1.297758
0.080015,0.287889,0.587559,0.781023,0.937299,1.073587,1.196889,1.310762,1.417255,1.517652,1.612804,1.703304,1.789576,1.871938,1.950634,2.025856,2.097765,2.166495,2.232167
0.081015,0.317607,0.707505,0.976792,1.185773,1.350633,1.480755,1.584470,1.675162,1.757546,1.833200,1.903313,1.968709,2.030136,2.088107,2.143075,2.195320,2.245170,2.292906
0.082015,0.341903,0.778839,1.031001,1.192440,1.323370,1.435822,1.534665,1.627491,1.728567,1.825713,1.916949,2.000731,2.076153,2.142968,2.201513,2.253061,2.301665,2.348234
0.083015,0.357630,0.786097,1.016899,1.199970,1.360264,1.494168,1.601026,1.687101,1.764012,1.834804,1.900523,1.961930,2.025057,2.094323,2.163075,2.229688,2.292704,2.351042
0.084016,0.363342,0.778570,1.029406,1.209510,1.341179,1.453649,1.561552,1.665305,1.760182,1.842709,1.912872,1.973514,2.029397,2.082268,2.135232,2.190250,2.246552,2.303179
0.085016,0.359608,0.766097,0.999627,1.166961,1.312403,1.434499,1.532959,1.617813,1.698711,1.778888,1.856434,1.928008,1.991652,2.047727,2.098357,2.146254,2.193683,2.241902
0.086016,0.347845,0.728674,0.948811,1.116264,1.243671,1.353656,1.456014,1.546604,1.623771,1.692260,1.757853,1.822964,1.886492,1.946028,2.000022,2.048676,2.093591,2.136810
0.087016,0.329112,0.669300,0.870389,1.014034,1.135187,1.235568,1.319961,1.398549,1.472700,1.539039,1.597341,1.651051,1.703502,1.755455,1.805539,1.852070,1.894483,1.933600
0.088016,0.304117,0.587726,0.744434,0.859310,0.946392,1.020898,1.085755,1.139509,1.187656,1.233669,1.275875,1.312605,1.345197,1.376248,1.406998,1.436775,1.464234,1.488750
0.089017,0.273964,0.478998,0.569383,0.619194,0.651091,0.668422,0.678112,0.683721,0.683357,0.679427,0.675162,0.670226,0.663176,0.654517,0.646127,0.639129,0.657325,0.678556
0.090017,0.240584,0.358113,0.373780,0.368544,0.360574,0.376260,0.412962,0.446770,0.479642,0.509557,0.537090,0.564182,0.590671,0.615248,0.638034,0.660179,0.682435,0.704231
0.091017,0.206512,0.261197,0.269181,0.302790,0.348714,0.389443,0.427614,0.457201,0.476312,0.487067,0.489662,0.486076,0.479472,0.471397,0.462451,0.454003,0.457428,0.474218
0.092017,0.174215,0.213692,0.258008,0.298964,0.317309,0.318608,0.312023,0.307944,0.313210,0.335788,0.357882,0.378578,0.398101,0.417324,0.436048,0.453420,0.466621,0.475455
0.093017,0.145275,0.190664,0.220978,0.223331,0.226024,0.242330,0.268974,0.294064,0.312878,0.321959,0.323011,0.319647,0.314813,0.311748,0.312975,0.325895,0.339824,0.353311
0.094018,0.119875,0.158360,0.165658,0.182506,0.207888,0.222847,0.224656,0.222395,0.224213,0.233898,0.249366,0.265854,0.280457,0.290003,0.294167,0.294191,0.291628,0.288402
0.095018,0.097199,0.121442,0.138154,0.156459,0.158845,0.161764,0.174248,0.190087,0.200830,0.204175,0.202675,0.201653,0.204404,0.211565,0.222036,0.233335,0.242787,0.248916
0.096018,0.077504,0.095585,0.111971,0.115024,0.125649,0.138664,0.142727,0.142388,0.145494,0.154412,0.164583,0.171757,0.174457,0.173732,0.172589,0.173897,0.178243,0.184951
0.097018,0.060382,0.076134,0.082295,0.092739,0.099490,0.100433,0.106294,0.115419,0.119991,0.120302,0.120485,0.123952,0.130684,0.137265,0.141140,0.142212,0.141652,0.141206
0.098018,0.045601,0.056625,0.063341,0.068861,0.071371,0.078992,0.082007,0.082346,0.085555,0.091553,0.095658,0.096113,0.095850,0.097387,0.101105,0.105678,0.109434,0.110958
0.099018,0.033153,0.039944,0.046037,0.048383,0.053750,0.054617,0.057172,0.061995,0.063361,0.063191,0.065434,0.069177,0.071949,0.072696,0.072280,0.072703,0.075170,0.078509
0.100019,0.030165,0.044756,0.052549,0.058257,0.063004,0.067201,0.070684,0.074073,0.077082,0.079669,0.082476,0.084878,0.086932,0.089344,0.091478,0.093305,0.095107,0.097116
0.101019,0.042752,0.062902,0.073665,0.081575,0.088246,0.093962,0.098955,0.103475,0.107778,0.111355,0.115169,0.118604,0.121560,0.124673,0.127730,0.130413,0.132804,0.135506
0.102019,0.057762,0.084655,0.098971,0.109543,0.118490,0.126000,0.132786,0.138706,0.144483,0.149409,0.154277,0.158952,0.163048,0.166980,0.171058,0.174779,0.178113,0.181410
0.103019,0.075357,0.110397,0.128953,0.142694,0.154305,0.163961,0.172841,0.180432,0.187933,0.194476,0.200584,0.206681,0.212148,0.217082,0.222339,0.227237,0.231720,0.235830
0.104019,0.095735,0.140669,0.164278,0.181799,0.196512,0.208726,0.220051,0.229705,0.239136,0.247599,0.255201,0.262932,0.269995,0.276390,0.282769,0.289054,0.294860,0.300232
0.105020,0.119135,0.176220,0.205910,0.227887,0.246228,0.261610,0.275651,0.287847,0.299598,0.309998,0.319763,0.329353,0.338001,0.346071,0.354201,0.361977,0.369040,0.375797
0.106020,0.145246,0.216836,0.253687,0.280930,0.303122,0.322529,0.339352,0.354938,0.368785,0.381971,0.394150,0.405367,0.416328,0.426643,0.436174,0.445498,0.454642,0.463213
0.107020,0.173325,0.262978,0.308638,0.342316,0.369829,0.393291,0.414320,0.432996,0.450402,0.466233,0.481130,0.495229,0.508271,0.520819,0.532894,0.544189,0.555015,0.565641
0.108020,0.203662,0.317003,0.374567,0.416620,0.450886,0.480283,0.506095,0.529572,0.550823,0.570665,0.589063,0.606285,0.622734,0.638152,0.652831,0.667033,0.680539,0.693396
0.109020,0.236475,0.382235,0.457168,0.511755,0.556022,0.593922,0.627416,0.657465,0.685071,0.710454,0.734187,0.756487,0.777405,0.797396,0.816378,0.834412,0.851818,0.868559
0.110021,0.271762,0.463158,0.565933,0.641748,0.703736,0.756980,0.804178,0.846885,0.885978,0.922279,0.956172,0.988036,1.018271,1.046887,1.074248,1.100488,1.125567,1.149738
0.111021,0.309083,0.564807,0.715126,0.831049,0.928893,1.015292,1.093566,1.165808,1.233313,1.296951,1.357395,1.415168,1.470534,1.523966,1.575546,1.625513,1.674131,1.721406
0.112021,0.347263,0.688053,0.913397,1.098470,1.261253,1.408962,1.545229,1.671993,1.790577,1.901749,2.006131,2.104086,2.196067,2.282238,2.362980,2.438518,2.509024,2.574853
0.113021,0.384147,0.816344,1.114417,1.347208,1.531749,1.677552,1.792826,1.892386,1.982680,2.065612,2.142423,2.214093,2.281343,2.344765,2.404921,2.462117,2.516680,2.569013
0.114021,0.416674,0.906487,1.194621,1.379079,1.526316,1.651654,1.761416,1.859501,1.948516,2.030177,2.105895,2.176443,2.247621,2.336558,2.420532,2.498606,2.570104,2.634810
0.115022,0.441611,0.929781,1.171081,1.348533,1.498425,1.650943,1.792340,1.916586,2.020909,2.106094,2.180511,2.250016,2.315350,2.377114,2.435682,2.491404,2.544697,2.595707
0.116022,0.456816,0.920420,1.176187,1.391067,1.564536,1.694069,1.799118,1.893194,1.978666,2.057246,2.132127,2.221306,2.308029,2.389128,2.462318,2.526640,2.582253,2.632815
0.117022,0.462166,0.919017,1.199215,1.391333,1.529075,1.652668,1.775888,1.894281,1.999654,2.087941,2.161455,2.228790,2.292059,2.351769,2.408429,2.464032,2.529646,2.595307
0.118022,0.459204,0.918441,1.177758,1.356611,1.518256,1.659766,1.772240,1.863524,1.946504,2.030638,2.116589,2.200627,2.278161,2.346465,2.405517,2.458864,2.509770,2.558496
0.119022,0.449756,0.897741,1.143003,1.338082,1.488616,1.606308,1.715909,1.823360,1.921472,2.004942,2.075891,2.140804,2.205351,2.271765,2.338899,2.403947,2.464177,2.518214
0.120022,0.434764,0.859447,1.107156,1.284809,1.424715,1.554016,1.665248,1.756525,1.838691,1.920203,2.000687,2.075354,2.141137,2.199041,2.252765,2.305968,2.360429,2.415762
0.121023,0.414197,0.811898,1.043958,1.209865,1.351762,1.464758,1.562681,1.657089,1.743768,1.818290,1.884231,1.947912,2.012017,2.074743,2.132951,2.185154,2.232447,2.277374
0.122023,0.387736,0.749614,0.954620,1.110474,1.229759,1.334259,1.428461,1.507314,1.577989,1.647199,1.713119,1.771885,1.823961,1.873134,1.922381,1.971681,2.019028,2.062571
0.123023,0.355458,0.664813,0.836783,0.958405,1.056697,1.138429,1.205195,1.267758,1.324520,1.372365,1.415392,1.457828,1.498911,1.535825,1.568040,1.597688,1.627152,1.657014
0.124023,0.318089,0.557209,0.673854,0.746380,0.797401,0.832315,0.861045,0.879773,0.892373,0.903691,0.911502,0.914025,0.913905,0.913893,0.913626,0.911148,0.905838,0.898993
0.125023,0.276944,0.431961,0.472960,0.480340,0.470274,0.456418,0.438085,0.430909,0.464842,0.494488,0.522844,0.551591,0.578630,0.602812,0.625729,0.649215,0.672772,0.694917
0.126024,0.233834,0.305235,0.290737,0.273940,0.316109,0.357725,0.395802,0.431595,0.463961,0.494540,0.524273,0.551884,0.577644,0.602605,0.627211,0.649351,0.666432,0.678757
0.127024,0.191625,0.210113,0.215243,0.267837,0.314773,0.356574,0.393911,0.421066,0.433931,0.435398,0.429782,0.417881,0.402351,0.385836,0.371719,0.387019,0.403483,0.419101
0.128024,0.153832,0.166422,0.213911,0.263843,0.288196,0.288021,0.273205,0.257134,0.251242,0.271899,0.293418,0.313440,0.332108,0.349624,0.367649,0.385055,0.401570,0.417260
0.129024,0.122063,0.152537,0.194783,0.197591,0.181911,0.177090,0.201716,0.226873,0.249667,0.270403,0.289648,0.299483,0.299626,0.292322,0.281469,0.270007,0.259610,0.264563
0.130024,0.096655,0.133900,0.137594,0.129061,0.147657,0.175643,0.197678,0.207237,0.202463,0.190359,0.180188,0.183078,0.197340,0.210657,0.223530,0.237200,0.250178,0.262504
0.131025,0.076660,0.101655,0.095062,0.117413,0.140017,0.143051,0.131793,0.125748,0.135806,0.150969,0.165766,0.180755,0.188994,0.188862,0.182389,0.174507,0.167231,0.163012
0.132025,0.060470,0.070360,0.082548,0.100414,0.093176,0.089520,0.100266,0.117357,0.129243,0.129420,0.121815,0.115257,0.113028,0.121368,0.130893,0.140852,0.151169,0.159019
0.133025,0.048854,0.073670,0.086088,0.097103,0.104104,0.112054,0.117595,0.122972,0.128752,0.133121,0.136621,0.141283,0.145640,0.149312,0.152159,0.155003,0.158973,0.162291
0.134025,0.064790,0.097173,0.113634,0.127763,0.136931,0.147342,0.154832,0.161618,0.168997,0.175149,0.179908,0.185571,0.191199,0.195973,0.200254,0.203855,0.208430,0.212952
0.135025,0.083309,0.124841,0.146260,0.163951,0.175766,0.188770,0.198814,0.207056,0.216597,0.224434,0.231090,0.237671,0.244795,0.251201,0.256725,0.261638,0.267015,0.272674
0.136025,0.104600,0.157243,0.184627,0.206425,0.221970,0.237575,0.250435,0.260714,0.272495,0.282579,0.291218,0.299044,0.308068,0.316043,0.323258,0.329795,0.335865,0.342989
0.137026,0.128888,0.195159,0.229738,0.256477,0.276438,0.295319,0.311462,0.324678,0.338716,0.351394,0.362360,0.372078,0.382915,0.392962,0.402114,0.410381,0.418012,0.426456
0.138026,0.156427,0.239702,0.283213,0.316090,0.341405,0.364348,0.384568,0.401389,0.418222,0.433924,0.447839,0.460200,0.472974,0.485465,0.496852,0.507387,0.517127,0.526856
0.139026,0.187491,0.292468,0.347479,0.388313,0.420447,0.448644,0.474040,0.495413,0.515914,0.535515,0.553072,0.568759,0.584202,0.599688,0.614016,0.627327,0.639669,0.651321
0.140026,0.222337,0.355720,0.425416,0.478097,0.517900,0.555142,0.586466,0.613143,0.640906,0.665474,0.685987,0.706709,0.727926,0.747521,0.764518,0.779878,0.796576,0.813458
0.141026,0.260572,0.431826,0.522852,0.590911,0.646080,0.693892,0.734580,0.774038,0.808228,0.838996,0.869926,0.899115,0.924682,0.948705,0.973248,0.997532,1.019859,1.039955
0.142027,0.301202,0.522907,0.648003,0.741623,0.821187,0.888187,0.950467,1.005441,1.056250,1.105439,1.150220,1.191745,1.232683,1.272480,1.309373,1.343927,1.378015,1.412068
0.143027,0.343772,0.632784,0.810879,0.951795,1.072708,1.182111,1.281754,1.374685,1.463591,1.546549,1.626268,1.704259,1.778648,1.849787,1.919666,1.988577,2.055319,2.119470
0.144027,0.387218,0.761406,1.014475,1.224986,1.409741,1.577707,1.730576,1.872537,2.001992,2.122079,2.233200,2.334144,2.426851,2.512681,2.590719,2.660951,2.724995,2.783989
0.145027,0.429663,0.894203,1.215335,1.465959,1.663996,1.818240,1.940422,2.045589,2.141624,2.229933,2.310836,2.386922,2.458854,2.525760,2.589100,2.650211,2.708589,2.763561
